ResponseId,open.question,rep.supp,dem.supp,elite,bipart,jcs,state,regime,trade,shared.threat,cost,conditions,defense.coop,mil.coop,region,cap,issue.link,none,age,gender,hhi,ethnicity,hispanic,education,political_party,us.region,zip,Q11,Q18,Q1,Q6,Q3,Q4,Q4_DO,Q4,Q5,Q7
R_2BxniDHG2QCioRo,Im not really sure,,,,,,,,,,,,,,,,,1,61,2,1,1,1,2,10,3,30188,Retail Trade,No,Somewhat agree,Somewhat agree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,None.,Somewhat agree
R_1FhoXtkjda6jMuk,Nothing ,,,,,,,,,,,,,,,,,1,42,2,3,10,1,2,1,1,10304,Utilities,No,Strongly agree,Strongly agree,Strongly agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Very superior,Very many.,Strongly agree
R_22FIFGlYFXb4cA8,Hvvubjb,,,,,,,,,,,,,,,,,1,23,2,1,1,1,2,4,2,44906,"Arts, entertainment & recreation",No,Strongly disagree,Strongly disagree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Neither agree nor disagree
R_2PdPPaE4969zYXd,peace,,,,,,,,,,,,,,,,,1,35,2,7,2,1,4,1,2,60419,Educational Services,No,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,Some.,Strongly agree
R_0vuJnumdcRoyFep,n/a,,,,,,,,,,,,,,,,,1,39,2,1,1,1,1,2,2,60090,"Arts, entertainment & recreation",,Somewhat agree,Somewhat agree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,Very many.,Somewhat agree
R_x30f9QHnDEu0wZb,no no andd no,,,,,,,,,,,,,,,,,1,24,2,22,2,1,6,1,3,30045,"Manufacturing - food, textile, apparel",Yes,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,Some.,Somewhat agree
R_2D6atRNnqQjIxwD,,,,,,,,,,,,,,,,,,1,36,2,4,15,2,2,5,4,89015,,No,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Not at all superior.,None.,Strongly disagree
R_1dLdQLa0rBwiQ0W,Long term peace ,,,,,,,,,,,,,,,,,,36,2,19,1,1,3,2,4,97051,"Manufacturing - wood, chemicals, plastics etc.",No,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,A few.,Neither agree nor disagree
R_8oVozdH5rIgd2xj,very good,,,,,,,,,,,,,,,,,1,51,2,15,1,1,7,1,3,24605,Construction,Yes,Strongly agree,Strongly agree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,Very many.,Strongly agree
R_V3iWNT6vp1gMf8B,Trust ,,,,,,,,,,,,,,,,,1,33,2,5,15,2,2,4,3,75007,Utilities,No,Neither agree nor disagree,Somewhat agree,Strongly agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Not at all superior.,Some.,Somewhat agree
R_2pJiVJUXeADQZze,Making things right ,,,,,,,,,,,,,,,,,1,22,2,1,1,1,2,10,2,43950,Health care and social assistance,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Neither agree nor disagree
R_1JF0QhVAGG9Y8YH,I really don't know what's going on,,,,,,,,,,,,,,,,,1,50,2,1,1,2,1,1,3,78221,,No,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Can trust other nations.,Can't be too careful.|Can trust other nations.,Somewhat superior.,A few.,Strongly agree
R_a9N4nRHSaA7nA0F,I don't know,,,,,,,,,,,,,,,,,1,52,2,21,1,1,5,4,2,63021,"Manufacturing - machinery, electronics etc.",No,Somewhat agree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Somewhat superior.,A few.,Neither agree nor disagree
R_2sTS5l8WaStfaVN,fear,,,,,,,,,,,,,,,,,1,19,2,6,1,1,6,9,3,32826,"Professional, scientific, and technical services",No,Strongly agree,Somewhat agree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Somewhat agree
R_1MYwNZ8yWSofV52,United States form this military alliance,,,,,,,,,,,,,,,,,1,29,2,20,1,1,7,1,3,79072,Information and Telecommunications,No,Strongly agree,Strongly agree,Strongly agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Very superior,Very many.,Strongly agree
R_1Pe3HlgRYq96bZx,peace,,,,,,,,,,,,,,,,,1,40,2,19,1,1,6,4,3,77024,Real Estate,No,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Can trust other nations.,Can't be too careful.|Can trust other nations.,Very superior,Very many.,Strongly agree
R_3oYHpH2CKI7h6us,The most important thing is that this comment is unity,,,,,,,,,,,,,,,,,1,29,2,18,1,1,6,1,3,79072,Information and Telecommunications,No,Somewhat agree,Somewhat agree,Neither agree nor disagree,Can trust other nations.,Can't be too careful.|Can trust other nations.,Very superior,Very many.,Strongly agree
R_1C4s7dNUg2CkIfr,Forming war allies,,,,,,,,,,,,,,,,,1,35,2,-3105,1,1,1,1,4,93001,Retail Trade,No,Somewhat agree,Somewhat disagree,Strongly agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Somewhat superior.,A few.,Neither agree nor disagree
R_3oSyEJZ1fxcG4XI,Fcfc,,,,,,,,,,,,,,,,,1,20,2,1,1,1,5,1,1,17083,Wholesale trade,No,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,Some.,Strongly disagree
R_cMbQMKz2V7VrEnD,Good,,,,,,,,,,,,,,,,,1,29,2,23,1,1,8,1,3,79072,Information and Telecommunications,No,Strongly agree,Strongly agree,Strongly agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Somewhat superior.,Some.,Strongly agree
R_3PZB5EGiVi7COvx,if they were willing to fight with us anywhere and what are trade are with that country if they are necessary or not,,,,,,,,1,,,,,1,,,,,44,2,13,1,5,5,5,3,23605,Other Mining,No,Strongly agree,Strongly disagree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,A few.,Somewhat disagree
R_BVXkvMQXevkfTfb,Not supporting an alliance when the majority believed not to join an alliance,,,1,,,,,,,,,,,,,,,29,2,8,1,1,7,3,4,90802,Educational Services,No,Strongly disagree,Somewhat agree,Somewhat disagree,Can trust other nations.,Can't be too careful.|Can trust other nations.,Not at all superior.,Very many.,Somewhat agree
R_shSusAaOR75gsMN,None,,,,,,,,,,,,,,,,,1,55,2,1,1,1,1,7,3,31533,Retail Trade,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,A little superior.,Some.,Somewhat agree
R_2D2heWX9oYotcWF,I don't know,,,,,,,,,,,,,,,,,1,34,2,3,2,1,2,4,3,32177,Utilities,No,Somewhat agree,Somewhat agree,Neither agree nor disagree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,Some.,Somewhat agree
R_1IWbc0f4I37qRMV,Cost,,,,,,,,,,1,,,,,,,,58,2,20,1,1,3,10,3,24479,Retail Trade,No,Strongly agree,Strongly disagree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Very many.,Strongly disagree
R_9Y0zNCbdwdoEigF,Support from representatives ,,,1,,,,,,,,,,,,,,,56,2,7,1,1,5,9,4,91761,Educational Services,,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Not at all superior.,A few.,Somewhat agree
R_3COz0b1oi9qVhxN,CTO,,,,,,,,,,,,,,,,,1,28,2,1,1,1,2,10,2,44030,"Manufacturing - wood, chemicals, plastics etc.",Yes,Somewhat disagree,Somewhat agree,Strongly agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Somewhat superior.,None.,Neither agree nor disagree
R_1eDIbmULc27hgxQ,None,,,,,,,,,,,,,,,,,1,34,2,1,1,2,1,4,4,80219,Transportation & Warehousing,No,Strongly disagree,Strongly disagree,Neither agree nor disagree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Very superior,None.,Strongly agree
R_1pDWOeobVWLcAOg,The connection between us ,,,,,,,,,,,,,,,,,1,26,2,3,2,1,2,1,3,28376,Health care and social assistance,No,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,A little superior.,Some.,Somewhat agree
R_1nT6MXndi0OqnLW,Alliances make a nation more stronger. ,,,,,,,,,,,,,,,,,1,67,2,23,1,1,8,1,3,32180,Information and Telecommunications,,Strongly agree,Strongly agree,Strongly agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,Very many.,Strongly agree
R_p5d0otbRkAWqVEd,All are favorable,,,1,,,,,,,,,,,,,,,36,2,21,1,1,7,1,1,11746,Other Mining,No,Strongly agree,Somewhat disagree,Strongly agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Very superior,A few.,Strongly agree
R_2tbSWJLXVVkO0SK,None,,,,,,,,,,,,,,,,,1,27,2,1,2,1,2,1,3,35404,Health care and social assistance,No,Strongly agree,Strongly agree,Strongly agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,Very superior,Very many.,Strongly agree
R_3Jf1gIn2gkboJG0,Support of US,,,,,,,,,,,,,1,,,,,43,2,12,1,1,7,1,2,53144,Educational Services,No,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Some.,Neither agree nor disagree
R_b2YPz4EfK1iiNtT,Not sure,,,,,,,,,,,,,,,,,1,39,2,4,1,1,2,9,3,29651,,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can trust other nations.,Can't be too careful.|Can trust other nations.,A little superior.,None.,Neither agree nor disagree
R_2ZUCPY28TAOPpKp,Knowledge,,,,,,,,,,,,,,,,,1,20,2,1,1,1,4,10,2,47909,Agriculture,No,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Very superior,Some.,Somewhat agree
R_10JBmkGxRUrd8Rg,Ajjjsxhxbxbxhhhzhzhxhx,,,,,,,,,,,,,,,,,1,41,2,1,2,1,1,1,1,19104,Agriculture,Yes,Somewhat disagree,Somewhat agree,Somewhat agree,Can trust other nations.,Can trust other nations.|Can't be too careful.,A little superior.,Some.,Somewhat disagree
R_3R3DGNTaFQAsWYa,System NHL,,,,,,,,,,,,,,,,,1,33,2,1,2,1,4,4,3,70301,"Arts, entertainment & recreation",No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,A few.,Neither agree nor disagree
R_2QlHPbPBiCeXYUB,The trade,,,,,,,,1,,,,,,,,,,43,2,6,1,1,4,7,2,68521,,No,Somewhat agree,Neither agree nor disagree,Somewhat agree,Can't be too careful.,Can't be too careful.|Can trust other nations.,Somewhat superior.,Very many.,Somewhat agree
R_3rMv4D9BqeoyZuS,Igcixktcbitc itciyfluxis yifiyf,,,,,,,,,,,,,,,,,1,56,2,14,1,1,5,10,3,35010,Health care and social assistance,No,Somewhat agree,Somewhat disagree,Somewhat agree,Can't be too careful.,Can trust other nations.|Can't be too careful.,Very superior,A few.,Somewhat disagree
