"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2019","","","","181082.755792"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","2019","","","","158676.786049"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2019","","","","1994265.527756"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","A","Annual","A","Annual","USM","Million US dollar","2019","","","","271783.893049"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","A","Annual","A","Annual","USM","Million US dollar","2019","","","","132457.699866"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","A","Annual","A","Annual","USM","Million US dollar","2019","","","","95491.78919"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","A","Annual","A","Annual","USM","Million US dollar","2019","","","","33610.730976"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","A","Annual","A","Annual","USM","Million US dollar","2019","","","","1088216.106096"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTAU","Automotive products","A","Annual","A","Annual","USM","Million US dollar","2019","","","","317721.597924"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOF","Office and telecom equipment","A","Annual","A","Annual","USM","Million US dollar","2019","","","","340309.696361"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTEP","Electronic data processing and office equipment","A","Annual","A","Annual","USM","Million US dollar","2019","","","","134919.092655"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTIC","Integrated circuits and electronic components","A","Annual","A","Annual","USM","Million US dollar","2019","","","","57678.145231"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTTL","Telecommunications equipment","A","Annual","A","Annual","USM","Million US dollar","2019","","","","147712.458475"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTTE","Transport equipment","A","Annual","A","Annual","USM","Million US dollar","2019","","","","382525.150356"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MATE","Textiles","A","Annual","A","Annual","USM","Million US dollar","2019","","","","31400.326685"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MI","Fuels and mining products","A","Annual","A","Annual","USM","Million US dollar","2019","","","","265651.535897"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MIFU","Fuels","A","Annual","A","Annual","USM","Million US dollar","2019","","","","209964.864447"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","2019","","","","2567444.559066"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AG","Agricultural products","A","Annual","A","Annual","USM","Million US dollar","2019","","","","164802.571247"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","AGFO","Food","A","Annual","A","Annual","USM","Million US dollar","2019","","","","135949.661785"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MA","Manufactures","A","Annual","A","Annual","USM","Million US dollar","2019","","","","1036401.466869"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACH","Chemicals","A","Annual","A","Annual","USM","Million US dollar","2019","","","","224279.094305"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","A","Annual","A","Annual","USM","Million US dollar","2019","","","","55779.682864"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","A","Annual","A","Annual","USM","Million US dollar","2019","","","","5963.927763"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAIS","Iron and steel","A","Annual","A","Annual","USM","Million US dollar","2019","","","","13204.187865"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","A","Annual","A","Annual","USM","Million US dollar","2019","","","","534874.756821"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","840","USA","United States of America","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTAU","Automotive products","A","Annual","A","Annual","USM","Million US dollar","2019","","","","139277.101716"
